"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Danvers","Danvers","MA","Massachusetts","25009","Essex","42.5750","-70.9321","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Fairhaven","Fairhaven","MA","Massachusetts","25005","Bristol","41.6373","-70.9044","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Hadley","Hadley","MA","Massachusetts","25015","Hampshire","42.3418","-72.5884","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Halifax","Halifax","MA","Massachusetts","25023","Plymouth","41.9912","-70.8620","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Hudson","Hudson","MA","Massachusetts","25017","Middlesex","42.3917","-71.5661","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Leicester","Leicester","MA","Massachusetts","25027","Worcester","42.2459","-71.9087","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Lunenburg","Lunenburg","MA","Massachusetts","25027","Worcester","42.5945","-71.7245","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"North Attleboro","North Attleboro","MA","Massachusetts","25005","Bristol","41.9696","-71.3565","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Dartmouth","Dartmouth","MA","Massachusetts","25005","Bristol","41.6102","-70.9953","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Oxford","Oxford","MA","Massachusetts","25027","Worcester","42.1168","-71.8648","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"North Reading","North Reading","MA","Massachusetts","25017","Middlesex","42.5751","-71.0787","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Northborough","Northborough","MA","Massachusetts","25027","Worcester","42.3194","-71.6414","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Orange","Orange","MA","Massachusetts","25011","Franklin","42.5904","-72.3098","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Saugus","Saugus","MA","Massachusetts","25009","Essex","42.4651","-71.0110","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Sturbridge","Sturbridge","MA","Massachusetts","25027","Worcester","42.1084","-72.0787","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Swansea","Swansea","MA","Massachusetts","25005","Bristol","41.7482","-71.1896","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Tewksbury","Tewksbury","MA","Massachusetts","25017","Middlesex","42.6106","-71.2342","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Walpole","Walpole","MA","Massachusetts","25021","Norfolk","42.1417","-71.2495","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Ware","Ware","MA","Massachusetts","25015","Hampshire","42.2598","-72.2399","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"West Boylston","West Boylston","MA","Massachusetts","25027","Worcester","42.3668","-71.7856","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Weymouth","Weymouth","MA","Massachusetts","25021","Norfolk","42.2181","-70.9410","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Hanover","Hanover","MA","Massachusetts","25023","Plymouth","42.1162","-70.8477","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"

####MI
"Hanover","Hanover","MI","Michigan","25023","Plymouth","42.1162","-70.8477","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
