,,Street,Town,State,Closing_date
102,2524,5502 Monterey Hwy,San Jose,CA,1/28/2016
103,2949,151 E 5th St.,Long Beach,CA,1/28/2016
104,5457,8400 Edgewater Drive,Oakland,CA,1/17/2016
105,2960,4101 Crenshaw Blcd.,Los Angeles,CA,1/17/2016
106,3507,2701 Port Covington Drive,Baltimore,MD,1/17/2016
107,3496,5825 W Hope Ave.,Milwaukee,WI,1/28/2016
108,3814,6525 Glacier Hwy,Juneau,AK,2/5/2016
109,763,7201 Aaron Aronov Drive,Fairfield,AL,1/28/2016
110,4584,10400 Highland Rd.,Hartland,MI,1/28/2016
111,4369,1010 Martin Luther King Pkwy.,Durham,NC,1/28/2016
112,2837,4350 N Nellis Blvd.,Las Vegas,NV,1/17/2016
113,4342,22209 Rockside Rd.,Bedford,OH,1/28/2016
114,2606,721 US Hwy 321 BYP S Unit,Winnsboro,SC,1/28/2016
115,883,14091 FM 490,Raymondville,TX,1/28/2016
116,5493,7480 Padre Island Hwy,Brownsville,TX,1/28/2016
117,5478,8201 N FM 620,Austin,TX,1/28/2016
118,597,7075 FM 1960 Rd W,Houston,TX,1/28/2016
119,3811,61 Plaza Drive,Kimball,WV,1/28/2016
120,5783,117 Audubon Drive,Maumelle,AR,1/17/2016
121,5642,2408 Lincoln Ave.,Altadena,CA,1/28/2016
122,5688,6820 Eastern Ave.,Bell Gardens,CA,1/28/2016
123,3086,701 W Cesar E Chavez Ave.,Los Angeles,CA,1/17/2016
124,5690,2045 E Highland Ave.,San Bernardino,CA,1/28/2016
125,4173,12120 Carson St.,Hawaiian Gardens,CA,1/28/2016
126,5002,8196 West Bowles Ave.,Littleton,CO,1/17/2016
127,3021,2253 S Monaco Pkwy.,Denver,CO,1/28/2016
128,2303,333 N Main St.,West Hartford,CT,1/28/2016
129,5856,601 N West St. STE 100,Wichita,KS,1/28/2016
130,5860,9831 E Harry St.,Wichita,KS,1/28/2016
131,5873,4794 E 13th,Wichita,KS,1/28/2016
132,3097,8235 SW Apple Way,Portland,OR,1/17/2016
133,5995,17711 Jean Way,Lake Oswego,OR,1/28/2016
134,3306,1220 Gallatin Ave.,Nashville,TN,1/28/2016
135,3171,2218 Greenville Ave.,Dallas (Greenville),TX,1/28/2016
136,3451,2740 Gessner Rd.,Houston,TX,1/28/2016
137,5985,2201 West Southlake Blvd.,Southlake,TX,1/28/2016
138,4126,1901 S. Texas Ave.,Bryan,TX,1/28/2016
139,5986,4268 Legacy Drive,Frisco,TX,1/17/2016
140,3030,3850 N 124th St.,Wauwatosa,WI,1/28/2016
141,3031,N88W15559 Main St.,Menomonee Falls,WI,1/28/2016
142,5698,S14W22605 Coral Drive,Waukesha,WI,1/28/2016
143,2343,7B Calle Munoz Rivera,Villalba,PR,1/28/2016
144,2347,Bo Salto Arriba,Utuado,PR,1/28/2016
145,2342,PR 14 Parque Industrial,Coamo,PR,1/28/2016
146,3667,1 Ave Monserrate STE 1,Carolina,PR,1/28/2016
147,3684,Carr 180 KM 0 HM 2,Salinas,PR,1/28/2016
148,3689,Centro Com Rio Grande State,Rio Grande,PR,1/28/2016
149,3697,Carr 165 KM 4.7,Toa Alta,PR,1/28/2016
150,4903,941 Grinnell St.,Fall River,MA,1/28/2016
151,6648,1110 Fall River Ave.,Seekonk,MA,1/28/2016
152,6665,495 Summit Drive,Waterford,MI,1/28/2016
153,6681,25 Pace Blvd.,Warwick,RI,1/28/2016
